"filename", "language", "JSON", "C++", "Python", "TypeScript", "XML", "Properties", "JSON with Comments", "YAML", "Shell Script", "JavaScript", "JavaScript JSX", "Prisma", "PostCSS", "CMake", "TypeScript JSX", "MS SQL", "Markdown", "comment", "blank", "total"
"/Users/ansonjiang/Documents/Chaotic_AI/.idea/OptimizeMe.iml", "XML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"/Users/ansonjiang/Documents/Chaotic_AI/.idea/inspectionProfiles/Project_Default.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/ansonjiang/Documents/Chaotic_AI/.idea/modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/ansonjiang/Documents/Chaotic_AI/.idea/prettier.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/ansonjiang/Documents/Chaotic_AI/.idea/vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/node-embedded/package-lock.json", "JSON", 941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 942
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/node-embedded/package.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/node-embedded/src/autoHook.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 27
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/node-embedded/src/hooks/express.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 49
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/node-embedded/src/hooks/fs.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/node-embedded/src/hooks/http.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 34
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/node-embedded/src/native.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/node-embedded/src/sdk.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 74
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/python-embedded/__init__.py", "Python", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 74
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/python-embedded/autoHook.py", "Python", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 32
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/python-embedded/binding.py", "Python", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 98
"/Users/ansonjiang/Documents/Chaotic_AI/database/.env", "Properties", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/ansonjiang/Documents/Chaotic_AI/database/package-lock.json", "JSON", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 120
"/Users/ansonjiang/Documents/Chaotic_AI/database/package.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
